representation,model,layer,probe_seed,lr,wd,train_r2,val_r2,iid_r2,ood_r2,ood_gap
vjepa_pez,large,11,42,0.0003,0.0001,0.9702769657477056,0.9062725007489455,0.9058583850822078,0.8798524917152589,0.026005893366948918
vjepa_pez,large,11,123,0.0003,0.0001,0.9706876640170579,0.9043323154921925,0.908307686243976,0.8789783278459894,0.02932935839798656
vjepa_pez,large,11,2024,0.0003,0.0001,0.9705459244924812,0.9070810809164288,0.9071204323817521,0.8793914004355502,0.02772903194620191
