representation,model,layer,probe_seed,split,episode_id,n_windows,r2
vjepa_pez,large,11,42,iid,939,68,0.896592184171849
vjepa_pez,large,11,42,iid,941,68,0.7621668937029231
vjepa_pez,large,11,42,iid,950,68,0.957057975908126
vjepa_pez,large,11,42,iid,956,68,0.9214945096360303
vjepa_pez,large,11,42,iid,958,68,0.9569436916123101
vjepa_pez,large,11,42,iid,967,68,0.943445281186987
vjepa_pez,large,11,42,iid,972,68,0.8755881646654482
vjepa_pez,large,11,42,iid,983,68,0.803535477475561
vjepa_pez,large,11,42,iid,984,68,0.5324940870908984
vjepa_pez,large,11,42,iid,987,68,0.8397762521575018
vjepa_pez,large,11,42,iid,988,68,0.7023835366887854
vjepa_pez,large,11,42,iid,989,68,0.904852996976317
vjepa_pez,large,11,42,iid,994,68,0.8986767381911077
vjepa_pez,large,11,42,ood,1,68,0.885870540197769
vjepa_pez,large,11,42,ood,3,68,0.8997497384192716
vjepa_pez,large,11,42,ood,4,68,0.9400495693770118
vjepa_pez,large,11,42,ood,5,68,0.9131594281980885
vjepa_pez,large,11,42,ood,6,68,0.9227391394052226
vjepa_pez,large,11,42,ood,16,68,0.9024064420989405
vjepa_pez,large,11,42,ood,23,68,0.875636057463688
vjepa_pez,large,11,42,ood,25,68,0.8837872384834714
vjepa_pez,large,11,42,ood,27,68,0.9312211653148194
vjepa_pez,large,11,42,ood,29,68,0.8827019325203554
vjepa_pez,large,11,42,ood,36,68,0.9425537883186634
vjepa_pez,large,11,42,ood,37,68,0.7343175152401289
vjepa_pez,large,11,42,ood,39,68,0.8822410241471942
vjepa_pez,large,11,42,ood,43,68,0.9423665348059388
vjepa_pez,large,11,42,ood,45,68,0.920369060298297
vjepa_pez,large,11,42,ood,46,68,0.8615930803637099
vjepa_pez,large,11,42,ood,50,68,0.907843959273875
vjepa_pez,large,11,42,ood,58,68,0.9559510949014447
vjepa_pez,large,11,42,ood,74,68,0.9395830699060902
vjepa_pez,large,11,42,ood,75,68,0.9333797269902461
vjepa_pez,large,11,42,ood,84,68,0.8202057658338733
vjepa_pez,large,11,42,ood,85,68,0.9038015677192092
vjepa_pez,large,11,42,ood,87,68,0.8867505681913131
vjepa_pez,large,11,42,ood,88,68,0.9328515348867565
vjepa_pez,large,11,42,ood,95,68,0.9224423372877936
vjepa_pez,large,11,42,ood,97,68,0.6060202416047926
vjepa_pez,large,11,42,ood,99,68,0.9175949478144064
vjepa_pez,large,11,42,ood,102,68,0.7545334123079606
vjepa_pez,large,11,42,ood,107,68,0.9617936909434158
vjepa_pez,large,11,42,ood,108,68,0.9483954557850592
vjepa_pez,large,11,42,ood,116,68,0.9018683880399769
vjepa_pez,large,11,42,ood,117,68,0.8896377501537968
vjepa_pez,large,11,42,ood,127,68,0.9017775846391898
vjepa_pez,large,11,42,ood,135,68,0.9206213943980947
vjepa_pez,large,11,42,ood,141,68,0.8816892538092513
vjepa_pez,large,11,42,ood,142,68,0.8099484291829018
vjepa_pez,large,11,42,ood,145,68,0.9352955116082882
vjepa_pez,large,11,42,ood,146,68,0.926388604191775
vjepa_pez,large,11,42,ood,149,68,0.9452235418761283
vjepa_pez,large,11,42,ood,152,68,0.9357417596675103
vjepa_pez,large,11,42,ood,157,68,0.9039622931668767
vjepa_pez,large,11,42,ood,158,68,0.8972443162133595
vjepa_pez,large,11,42,ood,161,68,0.8657888740993573
vjepa_pez,large,11,42,ood,164,68,0.8613474004146198
vjepa_pez,large,11,42,ood,167,68,0.8236727884600212
vjepa_pez,large,11,42,ood,168,68,0.9086276423656671
vjepa_pez,large,11,42,ood,171,68,0.9453422267915053
vjepa_pez,large,11,42,ood,180,68,0.9203732104241295
vjepa_pez,large,11,42,ood,181,68,0.7694835141256727
vjepa_pez,large,11,42,ood,185,68,0.9038739247257321
vjepa_pez,large,11,42,ood,188,68,0.7519896664404435
vjepa_pez,large,11,42,ood,189,68,0.8865341354344198
vjepa_pez,large,11,42,ood,190,68,0.8867812809317561
vjepa_pez,large,11,42,ood,192,68,0.9193053008613703
vjepa_pez,large,11,42,ood,195,68,0.8794997303688302
vjepa_pez,large,11,42,ood,201,68,0.914437191556156
vjepa_pez,large,11,42,ood,207,68,0.9530749732052072
vjepa_pez,large,11,42,ood,215,68,0.9297858661720422
vjepa_pez,large,11,42,ood,230,68,0.678815429187209
vjepa_pez,large,11,42,ood,241,68,0.9098759134117193
vjepa_pez,large,11,42,ood,246,68,0.9073630063825627
vjepa_pez,large,11,42,ood,249,68,0.8405088541177451
vjepa_pez,large,11,42,ood,252,68,0.9512437917273178
vjepa_pez,large,11,42,ood,253,68,0.9272403538312672
vjepa_pez,large,11,42,ood,265,68,0.7671178085957049
vjepa_pez,large,11,42,ood,267,68,0.924683872932112
vjepa_pez,large,11,42,ood,268,68,0.8709256519650158
vjepa_pez,large,11,42,ood,270,68,0.8553931274820317
vjepa_pez,large,11,42,ood,276,68,0.945789041769101
vjepa_pez,large,11,42,ood,277,68,0.7630210405967781
vjepa_pez,large,11,42,ood,280,68,0.9299431267376183
vjepa_pez,large,11,42,ood,282,68,0.9378676048565989
vjepa_pez,large,11,42,ood,285,68,0.8632154134885958
vjepa_pez,large,11,42,ood,288,68,0.9474259102099575
vjepa_pez,large,11,42,ood,293,68,0.9072385689440743
vjepa_pez,large,11,42,ood,294,68,0.9402202139581582
vjepa_pez,large,11,42,ood,295,68,0.9584091362608482
vjepa_pez,large,11,42,ood,297,68,0.9468843097076977
vjepa_pez,large,11,42,ood,302,68,0.8444370919326463
vjepa_pez,large,11,42,ood,308,68,0.9302358114050107
vjepa_pez,large,11,42,ood,310,68,0.7545819085526294
vjepa_pez,large,11,42,ood,312,68,0.9132030710621061
vjepa_pez,large,11,42,ood,313,68,0.9512350478492377
vjepa_pez,large,11,42,ood,314,68,0.9518398875070867
vjepa_pez,large,11,42,ood,318,68,0.9045768899179478
vjepa_pez,large,11,42,ood,321,68,0.8855671274087383
