representation,model,layer,probe_seed,lr,wd,train_r2,val_r2,iid_r2,ood_r2,ood_gap
vjepa_last,large,23,42,0.0003,0.0001,0.9310537218588196,0.8885747155134429,0.8915688795007646,0.9070064926481087,-0.015437613147344154
vjepa_last,large,23,123,0.0003,0.0001,0.930293164451954,0.8884764816813258,0.8920758764278678,0.9079305787587144,-0.015854702330846626
vjepa_last,large,23,2024,0.0003,0.0001,0.9304144623624088,0.8886005450574963,0.8930693920321174,0.9079792636658028,-0.014909871633685401
